frame,time,area (px)
750,25.00000,1825815
751,25.03333,1825362
752,25.06667,1825445
753,25.10000,1825979
754,25.13333,1825925
755,25.16667,1825915
756,25.20000,1826184
757,25.23333,1827314
758,25.26667,1828112
759,25.30000,1828054
760,25.33333,1827739
761,25.36667,1828083
762,25.40000,1827677
763,25.43333,1829035
764,25.46667,1830677
765,25.50000,1831269
766,25.53333,1831347
767,25.56667,1832053
768,25.60000,1832374
769,25.63333,1832837
770,25.66667,1833717
771,25.70000,1834292
772,25.73333,1835258
773,25.76667,1836802
774,25.80000,1837666
775,25.83333,1838616
776,25.86667,1839299
777,25.90000,1839464
778,25.93333,1839673
779,25.96667,1839812
780,26.00000,1840410
781,26.03333,1841215
782,26.06667,1840566
783,26.10000,1839814
784,26.13333,1839397
785,26.16667,1838815
786,26.20000,1837573
787,26.23333,1837353
788,26.26667,1837414
789,26.30000,1837596
790,26.33333,1837828
791,26.36667,1838080
792,26.40000,1838366
793,26.43333,1838484
794,26.46667,1838138
795,26.50000,1837199
796,26.53333,1836754
797,26.56667,1836410
798,26.60000,1836315
799,26.63333,1836884
800,26.66667,1837085
801,26.70000,1837548
802,26.73333,1838221
803,26.76667,1839114
804,26.80000,1839530
805,26.83333,1839695
806,26.86667,1839431
807,26.90000,1838856
808,26.93333,1838001
809,26.96667,1837698
810,27.00000,1838137
811,27.03333,1838504
812,27.06667,1838463
813,27.10000,1838055
814,27.13333,1838050
815,27.16667,1838332
816,27.20000,1837688
817,27.23333,1837941
818,27.26667,1838683
819,27.30000,1839135
820,27.33333,1839050
821,27.36667,1838989
822,27.40000,1838903
823,27.43333,1838860
824,27.46667,1838690
825,27.50000,1838486
826,27.53333,1837716
827,27.56667,1837239
828,27.60000,1837050
829,27.63333,1836361
830,27.66667,1836410
831,27.70000,1836526
832,27.73333,1836420
833,27.76667,1836060
834,27.80000,1835731
835,27.83333,1835491
836,27.86667,1835674
837,27.90000,1836153
838,27.93333,1836662
839,27.96667,1837226
840,28.00000,1837465
841,28.03333,1837532
842,28.06667,1837183
843,28.10000,1838322
844,28.13333,1839136
845,28.16667,1839167
846,28.20000,1838761
847,28.23333,1838565
848,28.26667,1837796
849,28.30000,1837602
850,28.33333,1836862
851,28.36667,1836365
852,28.40000,1836471
853,28.43333,1836322
854,28.46667,1835582
855,28.50000,1835136
856,28.53333,1834752
857,28.56667,1833911
858,28.60000,1833729
859,28.63333,1833396
860,28.66667,1833017
861,28.70000,1832943
862,28.73333,1832016
863,28.76667,1831793
864,28.80000,1832434
865,28.83333,1833087
866,28.86667,1831472
867,28.90000,1831544
868,28.93333,1831366
869,28.96667,1830945
870,29.00000,1830572
871,29.03333,1830941
872,29.06667,1831450
873,29.10000,1831822
874,29.13333,1831668
875,29.16667,1831726
876,29.20000,1831382
877,29.23333,1831409
878,29.26667,1831523
879,29.30000,1831542
880,29.33333,1831159
881,29.36667,1831437
882,29.40000,1831345
883,29.43333,1831036
884,29.46667,1830786
885,29.50000,1830706
886,29.53333,1830600
887,29.56667,1831365
888,29.60000,1831321
889,29.63333,1832114
890,29.66667,1832669
891,29.70000,1833374
892,29.73333,1833743
893,29.76667,1834131
894,29.80000,1833970
895,29.83333,1833503
896,29.86667,1832434
897,29.90000,1832615
898,29.93333,1833618
899,29.96667,1833635
900,30.00000,1834277
901,30.03333,1834834
902,30.06667,1835442
903,30.10000,1836420
904,30.13333,1837027
905,30.16667,1837999
906,30.20000,1838710
907,30.23333,1839220
908,30.26667,1839292
909,30.30000,1840540
910,30.33333,1841681
911,30.36667,1841901
912,30.40000,1841931
913,30.43333,1842158
914,30.46667,1842631
915,30.50000,1842951
916,30.53333,1843293
917,30.56667,1843941
918,30.60000,1844072
919,30.63333,1844250
920,30.66667,1844559
921,30.70000,1844794
922,30.73333,1845017
923,30.76667,1845695
924,30.80000,1845295
925,30.83333,1845232
926,30.86667,1844811
927,30.90000,1844406
928,30.93333,1843739
929,30.96667,1843339
930,31.00000,1843498
931,31.03333,1843466
932,31.06667,1844493
933,31.10000,1845514
934,31.13333,1846537
935,31.16667,1846321
936,31.20000,1845112
937,31.23333,1844777
938,31.26667,1844323
939,31.30000,1843416
940,31.33333,1843127
941,31.36667,1843962
942,31.40000,1844568
943,31.43333,1845272
944,31.46667,1845953
945,31.50000,1846798
946,31.53333,1848895
947,31.56667,1850157
948,31.60000,1850261
949,31.63333,1850828
950,31.66667,1851624
951,31.70000,1852136
952,31.73333,1852008
953,31.76667,1852251
954,31.80000,1853384
955,31.83333,1854080
956,31.86667,1853756
957,31.90000,1853028
958,31.93333,1852927
959,31.96667,1853536
960,32.00000,1853748
961,32.03333,1853978
962,32.06667,1853617
963,32.10000,1853289
964,32.13333,1852911
965,32.16667,1852657
966,32.20000,1852279
967,32.23333,1851876
968,32.26667,1851253
969,32.30000,1851696
970,32.33333,1851928
971,32.36667,1851806
972,32.40000,1851079
973,32.43333,1850761
974,32.46667,1850790
975,32.50000,1850411
976,32.53333,1850593
977,32.56667,1850822
978,32.60000,1851255
979,32.63333,1851628
980,32.66667,1851548
981,32.70000,1851689
982,32.73333,1851638
983,32.76667,1851584
984,32.80000,1851069
985,32.83333,1850552
986,32.86667,1851681
987,32.90000,1852892
988,32.93333,1852339
989,32.96667,1851563
990,33.00000,1851551
991,33.03333,1851630
992,33.06667,1851158
993,33.10000,1850384
994,33.13333,1849927
995,33.16667,1849901
996,33.20000,1849095
997,33.23333,1848581
998,33.26667,1848077
999,33.30000,1848592
1000,33.33333,1848324
